0,190,30,229,69
0,160,50,199,89
0,210,50,249,89
0,340,60,379,99
0,150,70,189,109
0,170,70,209,109
0,340,210,379,249
0,480,260,519,299
1,350,270,389,309
0,490,270,529,309
0,500,280,539,319
0,200,300,239,339
0,170,310,209,349
0,240,310,279,349
0,250,310,289,349
1,330,310,369,349
1,390,310,429,349
0,170,320,209,359
0,230,320,269,359
1,360,320,399,359
1,370,320,409,359
0,140,330,179,369
0,180,330,219,369
0,200,330,239,369
0,220,330,259,369
1,350,340,389,379
0,530,350,569,389
0,560,360,599,399
0,560,370,599,409
0,590,380,629,419
